#{"t_start": 1775812281.8637247, "env_id": "None"}
r,l,t
-1.5,11,11.715802
-0.24,10,11.818747
-1.2,1,11.819447
-1.35,6,11.887952
-0.57,21,12.061153
-1.23,2,12.062413
-1.44,9,12.163768
-1.23,2,12.164974
-0.24,10,12.266867
-1.26,3,12.268601
-1.23,2,12.301994
-1.32,5,12.33692
-1.41,8,12.405581
-1.38,7,12.475419
-1.35,6,12.511372
-1.38,7,12.579571
-1.2,1,12.580212
-1.38,7,12.64936
-1.56,13,12.752822
-0.03,3,12.786798
-1.32,5,12.822387
-1.23,2,12.85596
-1.2,1,12.856643
-1.23,2,12.889979
-1.2,1,12.890666
-1.2,1,12.891257
-1.26,3,12.925178
-1.32,5,12.960154
-1.26,3,12.994042
-1.2,1,12.994681
-1.2,1,12.995348
-1.59,14,13.1314
-1.29,4,13.165779
-1.26,3,13.199624
-1.5,11,13.270254
-1.83,22,13.474919
-0.45,17,13.613244
-1.38,7,13.681392
-1.32,5,13.716362
-0.03,3,13.750327
-0.06,4,13.784837
-1.56,13,13.890057
-1.23,2,13.923629
-1.26,3,13.925363
-1.2,1,13.958122
-1.26,3,13.959811
-1.2,1,13.99264
-1.32,5,14.028086
-0.12,6,14.064211
-1.38,7,14.132346
-1.23,2,14.165819
-1.2,1,14.166516
-0.27,11,14.269073
-1.32,5,14.304056
-1.83,22,14.476784
-1.2,1,14.509654
-1.2,1,14.510345
-0.33,13,14.61424
-0.21,9,14.68362
-1.23,2,14.716947
-1.47,10,14.786659
-0.06,4,14.821651
-1.29,4,14.856875
-1.26,3,14.89119
0.0,2,14.924933
-1.26,3,14.92665
-1.26,3,14.960536
-1.26,3,14.994408
-1.2,1,14.995039
-1.44,9,15.064261
-1.29,4,15.098731
-1.2,1,15.131495
-1.32,5,15.166558
-1.2,1,15.167185
-1.2,1,15.167854
-1.29,4,15.202203
-1.2,1,15.234952
-1.2,1,15.235636
-1.35,6,15.271046
-1.32,5,15.338063
-1.38,7,15.374075
-1.35,6,15.441761
-2.31,38,15.752405
-1.29,4,15.786801
-1.2,1,15.819863
-1.23,2,15.821157
-1.26,3,15.856553
-0.06,4,15.891661
-1.38,7,15.959838
-1.29,4,15.994591
-1.41,8,16.063386
-1.26,3,16.065561
-1.35,6,16.133166
-0.03,3,16.16713
-1.5,11,16.237425
-1.32,5,16.30443
-1.32,5,16.339559
-1.44,9,16.409066
-1.56,13,16.512581
-1.29,4,16.546963
-0.15,7,16.615564
-1.23,2,16.648901
-1.23,2,16.650171
-0.12,6,16.717955
-1.74,19,16.857595
-1.23,2,16.891352
-1.2,1,16.89205
0.0,2,16.925441
-1.23,2,16.926638
1.08,7,16.995652
-1.23,2,16.996993
-1.35,6,17.064724
-1.68,17,17.20231
1.17,4,17.236842
-0.63,23,17.4424
-1.32,5,17.47734
-1.2,1,17.477978
-1.32,5,17.54538
-1.26,3,17.547173
-1.2,1,17.579938
-1.23,2,17.581143
-0.27,11,17.68368
-2.01,28,17.927214
-0.21,9,17.996658
-1.2,1,17.997306
-0.06,4,18.031951
-1.2,1,18.064838
-1.59,14,18.169527
-1.68,17,18.307249
-0.15,7,18.375571
0.93,12,18.479188
-1.2,1,18.479866
-0.39,15,18.616764
-1.2,1,18.617409
0.0,2,18.651247
-1.41,8,18.719919
-1.47,10,18.789533
-1.41,8,18.858943
-1.29,4,18.893452
