#{"t_start": 1775819384.201737, "env_id": "None"}
r,l,t
-1.26,3,3.236316
-1.5,11,3.24793
-1.47,10,3.258466
-0.09,5,3.264037
-1.2,1,3.265248
-1.29,4,3.269581
-1.41,8,3.278148
-1.2,1,3.279366
-1.2,1,3.280565
-0.09,5,3.286
-0.03,3,3.289362
-1.38,7,3.296752
-0.27,11,3.308551
-1.26,3,3.311865
-1.77,20,3.332704
-1.2,1,3.333915
-1.2,1,3.335114
-1.53,12,3.347682
-1.2,1,3.348897
-1.23,2,3.351134
-1.29,4,3.35545
-1.26,3,3.358742
-1.29,4,3.363047
-1.35,6,3.369426
-1.2,1,3.370636
-1.2,1,3.371848
-1.23,2,3.374097
-1.26,3,3.377391
-1.62,15,3.393166
-1.2,1,3.394375
-1.47,10,3.404896
-0.3,12,3.582671
-0.12,6,3.589288
-1.2,1,3.590501
-1.26,3,3.593797
-1.44,9,3.603279
-0.45,17,3.621137
-1.59,14,3.635838
-0.09,5,3.641253
-0.27,11,3.652893
-1.35,6,3.659467
-1.38,7,3.666873
-1.32,5,3.672236
-1.2,1,3.673443
0.66,21,3.695808
-1.74,19,3.715706
-1.23,2,3.71795
-0.09,5,3.723336
-1.23,2,3.725577
-1.32,5,3.730928
-1.2,1,3.732148
-1.53,12,3.744756
-1.62,15,3.760566
-1.23,2,3.762821
-1.32,5,3.768163
-1.23,2,3.770401
-1.29,4,3.774725
-1.44,9,3.784206
-1.38,7,3.791631
-1.26,3,3.794921
-1.44,9,3.804414
-1.26,3,3.807699
-1.26,3,3.810973
0.0,2,3.813305
-1.23,2,3.815558
-1.2,1,3.816767
-1.65,16,3.833504
-1.32,5,3.838842
-1.2,1,3.840054
-0.33,13,3.853851
-0.09,5,3.859286
-1.44,9,3.868742
-1.47,10,3.879265
-1.44,9,3.888739
-1.26,3,3.892072
-1.5,11,3.903782
-0.06,4,3.908195
-1.26,3,3.911476
-1.23,2,3.913728
-1.35,6,3.920125
-1.32,5,3.925484
-1.26,3,3.928776
-1.23,2,3.931019
-1.23,2,3.933242
-1.23,2,3.935479
-1.2,1,3.936677
-1.2,1,3.937893
-0.15,7,3.945389
-1.41,8,3.953821
-1.44,9,3.963298
-1.41,8,3.971775
-1.2,1,3.972983
-1.5,11,3.984498
-1.2,1,3.985717
-1.53,12,3.998291
-1.56,13,4.011866
-0.33,13,4.025778
0.96,11,4.037591
-1.2,1,4.038803
-0.24,10,4.049451
-1.32,5,4.054796
-1.23,2,4.057024
-1.59,14,4.071668
-1.26,3,4.074946
-1.2,1,4.076147
-0.15,7,4.083701
-1.35,6,4.090072
-1.59,14,4.104783
-1.23,2,4.107021
-1.41,8,4.115488
-1.53,12,4.291442
-2.25,36,4.329011
-1.23,2,4.331307
-1.2,1,4.332525
-1.29,4,4.336931
-0.15,7,4.344634
-1.2,1,4.34587
-1.2,1,4.347075
-0.03,3,4.350488
-1.29,4,4.354829
-1.23,2,4.357075
-1.77,20,4.378018
-1.26,3,4.381305
-1.35,6,4.387722
-1.38,7,4.395183
-1.23,2,4.397429
-1.2,1,4.398635
-1.23,2,4.400879
-1.2,1,4.402088
-1.8,21,4.423984
-1.77,20,4.444844
-1.05,37,4.48427
-1.26,3,4.4876
-1.77,20,4.508567
-1.29,4,4.51289
-1.23,2,4.515122
-1.2,1,4.516332
-1.38,7,4.523791
-0.06,4,4.528237
-1.29,4,4.53258
-0.09,5,4.538132
-0.06,4,4.542569
-1.2,1,4.543788
-1.29,4,4.548091
-1.2,1,4.549293
-1.35,6,4.555693
-0.24,10,4.566407
-1.53,12,4.578993
-1.26,3,4.582267
-1.35,6,4.588588
-0.03,3,4.591962
-0.15,7,4.599398
-0.03,3,4.602793
-0.03,3,4.606154
-2.04,29,4.636271
-1.23,2,4.6385
1.05,8,4.647084
-1.23,2,4.649324
-1.74,19,4.669175
-1.29,4,4.67348
-0.39,15,4.6892
-1.41,8,4.697649
-1.2,1,4.698861
-1.32,5,4.704187
-1.32,5,4.709518
-1.29,4,4.713821
-1.95,26,4.740856
-1.23,2,4.743103
-1.77,20,4.764012
-1.32,5,4.769375
-1.26,3,4.772646
-1.26,3,4.775938
-1.53,12,4.78854
-1.8,21,4.810429
-1.86,23,4.99751
-1.38,7,5.004983
-0.06,4,5.009374
-1.2,1,5.034944
-1.38,7,5.044124
-0.06,4,5.048521
-1.23,2,5.050772
1.05,8,5.05944
-1.77,20,5.080371
-0.06,4,5.08479
-1.2,1,5.086002
1.11,6,5.092618
-1.2,1,5.093836
-1.29,4,5.098156
-1.32,5,5.103524
-1.23,2,5.105785
-0.12,6,5.112248
-1.2,1,5.113455
-1.29,4,5.117758
-1.23,2,5.120006
-1.2,1,5.121212
-1.2,1,5.122408
-1.38,7,5.129829
-1.89,24,5.154837
-1.32,5,5.160186
-1.32,5,5.165532
-1.5,11,5.177073
-1.32,5,5.182431
-0.21,9,5.192162
-1.32,5,5.197492
-1.35,6,5.203875
-1.23,2,5.206116
-1.38,7,5.213527
-1.38,7,5.22095
-0.6,22,5.244273
-1.53,12,5.256875
-1.23,2,5.259101
-1.23,2,5.26132
-1.29,4,5.265618
-1.32,5,5.270963
-1.23,2,5.273194
-1.23,2,5.275427
-0.39,15,5.291354
-1.2,1,5.292557
-1.38,7,5.300018
-1.32,5,5.305352
-1.56,13,5.318998
-1.29,4,5.32329
-1.2,1,5.324494
-1.23,2,5.326733
-1.2,1,5.327937
-1.71,18,5.346669
-0.12,6,5.353127
-1.35,6,5.359478
-1.23,2,5.361723
-0.21,9,5.371375
-0.12,6,5.377902
-1.41,8,5.386311
-0.06,4,5.390887
-1.44,9,5.400523
-0.24,10,5.411249
-1.26,3,5.414521
-1.44,9,5.423998
-1.2,1,5.4252
-1.95,26,5.452251
0.0,2,5.454682
-1.35,6,5.461161
-0.15,7,5.468927
-1.38,7,5.476373
-0.18,8,5.485068
-1.23,2,5.48734
-1.2,1,5.488533
-0.06,4,5.493021
-1.26,3,5.496315
-1.47,10,5.50685
-1.26,3,5.510111
-0.36,14,5.52501
-2.37,40,5.729654
-1.95,26,5.756737
-1.44,9,5.766195
-0.06,4,5.77066
-0.03,3,5.774086
-1.44,9,5.783505
-1.5,11,5.795064
-0.33,13,5.808974
-1.26,3,5.812237
-1.29,4,5.816528
-1.23,2,5.818886
-0.06,4,5.823325
-0.24,10,5.8342
-0.24,10,5.844819
-1.65,16,5.861553
-1.35,6,5.867947
-1.38,7,5.875371
-1.44,9,5.884873
-1.2,1,5.88608
1.02,9,5.895812
-1.62,15,5.911511
-1.68,17,5.929272
-0.12,6,5.935892
-1.23,2,5.938142
-1.32,5,5.943444
-1.38,7,5.950849
-0.09,5,5.956258
-1.29,4,5.960601
-0.21,9,5.970256
-1.23,2,5.972496
-0.15,7,5.97999
-0.18,8,5.988503
-0.06,4,5.992979
-1.41,8,6.001444
1.2,3,6.004883
-1.59,14,6.019495
-1.77,20,6.040287
-1.2,1,6.041492
-1.26,3,6.04478
-1.41,8,6.053201
-1.29,4,6.057479
-1.89,24,6.08244
-1.2,1,6.083635
-1.41,8,6.092073
-1.2,1,6.093282
-1.26,3,6.096551
-1.56,13,6.110184
-1.38,7,6.117613
-1.35,6,6.124017
0.81,16,6.140898
-1.26,3,6.144171
-1.35,6,6.150565
-1.29,4,6.154882
0.93,12,6.167608
-0.39,15,6.183379
1.02,9,6.193054
-1.2,1,6.194258
-1.56,13,6.207857
-1.53,12,6.220374
-1.26,3,6.223652
-1.47,10,6.234189
-0.24,10,6.244852
-0.27,11,6.25649
-1.2,1,6.257699
-0.12,6,6.264145
-1.41,8,6.436847
-1.56,13,6.45066
-0.15,7,6.458413
-0.09,5,6.463954
-0.09,5,6.469532
-0.09,5,6.47509
-0.15,7,6.482877
-0.09,5,6.488327
1.11,6,6.494994
-1.83,22,6.517991
-1.35,6,6.524377
-1.92,25,6.550452
-2.19,34,6.585881
-1.38,7,6.593321
-0.15,7,6.601008
0.0,2,6.603312
-1.74,19,6.623186
-1.23,2,6.625432
-1.26,3,6.628718
-1.23,2,6.630972
-1.2,1,6.632187
-1.23,2,6.634425
-0.12,6,6.640975
-1.44,9,6.65047
0.0,2,6.652821
-0.15,7,6.660331
-1.2,1,6.66154
-1.44,9,6.67102
-1.38,7,6.678465
-1.35,6,6.684837
-1.62,15,6.700543
-0.09,5,6.706001
0.96,11,6.717763
-1.35,6,6.72416
-0.12,6,6.73064
-1.35,6,6.737048
-0.12,6,6.743499
-1.44,9,6.753066
-1.56,13,6.766683
-1.32,5,6.772015
-1.53,12,6.784545
-1.32,5,6.78989
-1.38,7,6.797291
-0.21,9,6.806884
-0.09,5,6.812376
-1.23,2,6.814621
-1.56,13,6.828235
0.96,11,6.840101
0.75,18,6.859288
-1.32,5,6.86463
-0.36,14,6.879335
-1.2,1,6.880546
-0.09,5,6.885983
-0.15,7,6.893475
-1.38,7,6.90088
-0.36,14,6.915814
-0.18,8,6.924296
-0.12,6,6.930764
-0.12,6,6.937306
0.0,2,6.939648
-1.62,15,6.955341
-0.12,6,6.961889
-0.06,4,6.966273
-1.65,16,7.145807
-0.12,6,7.15243
-0.18,8,7.160995
-1.62,15,7.176617
-0.09,5,7.18217
-0.18,8,7.190822
-0.18,8,7.199419
-0.15,7,7.206954
-1.44,9,7.216431
-1.2,1,7.217628
-0.27,11,7.229524
-0.18,8,7.238065
-0.06,4,7.242426
-1.35,6,7.248813
-1.29,4,7.253131
-0.03,3,7.256496
-0.06,4,7.260898
-0.51,19,7.281034
-0.15,7,7.288601
-0.75,27,7.316791
0.0,2,7.319102
0.9,13,7.33317
-0.51,19,7.353058
-1.29,4,7.357376
-0.27,11,7.368989
