#{"t_start": 1775807092.8954906, "env_id": "None"}
r,l,t
-1.44,9,5.969095
-1.2,1,5.970273
-1.23,2,5.972469
-1.2,1,5.973662
-1.2,1,5.974857
-1.26,3,5.978086
-0.06,4,5.982384
-1.29,4,5.986579
-1.44,9,5.997549
-1.38,7,6.004729
-1.2,1,6.005927
-0.12,6,6.012243
-1.5,11,6.02344
-1.44,9,6.034428
-1.35,6,6.040663
-1.2,1,6.041856
-1.2,1,6.043054
-1.32,5,6.048267
-0.03,3,6.051532
-1.62,15,6.068472
-1.68,17,6.085718
-0.33,13,6.100794
-1.56,13,6.114025
-1.38,7,6.121265
-1.2,1,6.122461
-0.24,10,6.134602
-1.29,4,6.138798
-1.38,7,6.145974
-3.41,98,6.249764
-1.26,3,6.252969
-1.26,3,6.256171
-1.23,2,6.258365
-1.38,7,6.265598
-1.23,2,6.267796
-1.56,13,6.282814
-0.27,11,6.294284
-1.47,10,6.306277
1.11,6,6.312682
-1.56,13,6.325916
-0.42,16,6.343992
-1.32,5,6.34923
-1.2,1,6.350416
-1.29,4,6.354619
-1.26,3,6.357822
-1.2,1,6.359018
-1.2,1,6.360206
-1.44,9,6.369426
-0.24,10,6.381562
-1.5,52,6.435677
-0.75,27,6.464727
-1.68,17,6.483756
-0.15,7,6.491116
-1.2,1,6.492304
-1.23,2,6.494483
-1.71,18,6.514506
-1.65,16,6.531089
-1.92,25,6.558937
-1.32,5,6.564275
-1.23,2,6.566499
-1.2,1,6.567684
-1.26,3,6.570891
-1.44,9,6.580118
-1.59,14,6.596325
-0.09,5,6.601711
-1.59,14,6.615958
-1.35,6,6.62397
-2.46,43,6.669097
-0.72,26,6.697792
-1.29,4,6.702027
-1.38,7,6.709224
-1.59,14,6.725282
-0.12,6,6.731595
-1.44,9,6.740814
-2.37,40,6.782894
-1.2,1,6.784086
-1.2,1,6.785272
-0.24,10,6.797366
-1.2,1,6.798546
-0.33,13,6.811883
-1.23,2,6.814083
-1.2,1,6.815264
-1.35,6,6.821462
0.0,2,6.823748
-0.69,25,6.850883
-1.56,13,6.86587
-1.95,26,6.892148
-1.2,1,6.895077
-0.21,9,6.904445
-1.26,3,6.907615
-0.21,9,6.917089
-1.41,8,6.925338
-1.47,10,6.937317
-1.65,16,6.953534
-0.24,10,6.965765
-1.38,7,6.972951
-1.38,7,6.980199
-1.47,10,6.990437
-1.23,2,6.992635
-1.41,8,7.002685
-1.26,3,7.005904
-0.06,4,7.0102
-1.23,2,7.012376
-1.2,1,7.013574
-1.23,2,7.01576
-1.29,4,7.01998
-1.32,5,7.025196
-1.47,10,7.03714
-1.56,13,7.050345
-0.3,12,7.062717
-1.68,17,7.081736
-1.35,6,7.087951
-1.32,5,7.093153
-2.52,45,7.142256
-1.56,13,7.155474
-0.15,7,7.16281
-1.23,2,7.165002
-1.26,3,7.168225
-0.03,3,7.173283
-1.68,17,7.190536
