#{"t_start": 1775809709.2085102, "env_id": "None"}
r,l,t
-0.1,26,6.659589
-0.1,2,6.660756
-0.1,5,6.671361
0.3,4,6.677574
-0.1,1,6.678201
-0.1,6,6.685365
-0.1,2,6.690483
-0.1,2,6.691587
0.3,7,6.703313
-0.1,8,6.715722
-0.1,2,6.720813
0.4,5,6.7278
-0.1,3,6.733403
-0.1,1,6.734085
-0.1,2,6.735201
-0.1,3,6.740826
-0.1,9,6.753484
-0.1,1,6.758134
-0.1,15,6.777823
0.3,11,6.795653
-0.1,1,6.796272
-0.1,7,6.808256
-0.1,4,6.814371
-0.1,1,6.814987
-0.1,1,6.819547
-0.1,4,6.82572
-0.1,2,6.826864
-0.1,1,6.827453
-0.1,12,6.845662
-0.1,6,6.85702
-0.1,4,6.863368
0.4,19,6.893319
0.3,6,6.900937
0.4,3,6.906794
-0.1,2,6.908096
-0.1,1,6.912666
0.8,13,6.931939
-0.1,9,6.944641
-0.1,3,6.950259
-0.1,1,6.950866
-0.1,1,6.951448
-0.1,1,6.956054
0.3,14,6.975381
-0.1,1,6.976002
-0.1,2,6.98114
0.9,4,6.987637
-0.1,3,6.993261
-0.1,1,6.993884
-0.1,17,7.018824
-0.1,3,7.024537
-0.1,2,7.02565
-0.1,1,7.030242
-0.1,2,7.031355
0.3,4,7.037757
-0.1,3,7.043376
0.3,7,7.055314
-0.1,1,7.055951
0.3,3,7.061876
-0.1,1,7.062509
-0.1,12,7.080849
-0.1,1,7.081472
-0.1,1,7.082096
-0.1,1,7.086674
-0.1,1,7.087324
-0.1,3,7.092905
-0.1,13,7.111707
0.4,4,7.117898
-0.1,2,7.119012
-0.1,13,7.141643
-0.1,1,7.14231
-0.1,4,7.148443
0.4,20,7.17907
0.3,10,7.19293
-0.1,8,7.205357
-0.1,12,7.223514
-0.1,5,7.234141
0.3,7,7.242316
-0.1,3,7.247977
-0.1,17,7.272798
-0.1,2,7.277964
-0.1,2,7.279066
-0.1,4,7.285262
-0.1,7,7.297107
0.3,16,7.323036
-0.1,1,7.323655
-0.1,1,7.328422
0.3,10,7.342462
-0.1,4,7.348665
-0.1,20,7.379598
-0.1,1,7.380271
-0.1,4,7.386438
