#{"t_start": 1775812070.2893043, "env_id": "None"}
r,l,t
-48.2,19,2.796863
-49.9,2,2.798259
-49.0,11,2.814741
-46.3,19,2.843472
-48.6,15,2.862111
-50.0,1,2.866308
-49.7,4,2.87217
-49.9,2,2.873495
-49.7,4,2.879321
-48.5,16,2.902036
-49.9,2,2.906718
-47.5,7,2.914536
-47.2,10,2.930799
-50.0,1,2.931457
-50.0,1,2.932065
-47.5,7,2.942947
-47.6,6,2.953357
-45.4,28,2.993963
-48.9,12,3.01109
-47.8,23,3.041137
-49.9,2,3.045793
-49.1,10,3.058401
-47.1,11,3.075692
-49.9,2,3.080351
-50.0,1,3.080983
-46.8,14,3.099419
-49.9,2,3.104079
-47.9,22,3.134238
-49.6,5,3.144138
-48.5,16,3.166992
-49.2,9,3.179198
-47.4,8,3.191175
-47.8,4,3.196961
-49.3,8,3.208501
-49.2,9,3.220768
-48.9,12,3.238195
-49.5,6,3.248844
-48.9,12,3.265933
-48.5,16,3.289352
-48.8,13,3.307362
-49.0,11,3.324292
-48.6,15,3.343369
-49.5,6,3.353596
-49.8,3,3.358919
-49.8,3,3.36059
-49.1,10,3.37687
-47.1,11,3.39406
-49.2,9,3.406112
-47.5,7,3.416975
-50.0,1,3.41764
-49.4,7,3.428931
-50.0,1,3.429548
-49.5,6,3.436285
-49.5,6,3.446643
-49.7,4,3.452717
-49.9,2,3.453833
-47.2,10,3.470693
-49.7,4,3.476653
-49.0,11,3.493258
-47.3,9,3.505664
-49.5,6,3.51258
-49.4,7,3.523384
-49.0,11,3.540107
-50.0,1,3.540716
-49.4,7,3.55198
-48.6,15,3.574363
-50.0,1,3.574982
-47.7,5,3.581467
-49.4,7,3.592641
-49.7,4,3.598376
-49.6,5,3.60456
-50.0,1,3.605155
-49.8,3,3.61044
-49.1,10,3.626809
-46.8,14,3.645393
-50.0,1,3.645999
-49.2,9,3.661922
-49.8,3,3.663827
-50.0,1,3.667958
-49.8,3,3.669833
-48.0,2,3.674695
-48.0,2,3.675925
-49.4,7,3.687028
-50.0,1,3.687645
-49.2,9,3.703161
-49.0,11,3.717515
-49.4,7,3.729035
-49.3,8,3.740727
-47.5,7,3.752243
-48.9,12,3.769475
-48.7,14,3.788256
-47.8,4,3.794079
-48.4,17,3.821086
-47.0,12,3.838896
-49.8,3,3.840559
-48.2,19,3.868929
-49.9,2,3.873781
-48.4,17,3.897218
-49.9,2,3.898335
-49.8,3,3.903656
-49.4,7,3.914495
-50.0,1,3.915163
-50.0,1,3.915756
-48.9,12,3.932676
-47.7,5,3.94277
-47.5,7,3.950323
-48.1,20,3.979185
-47.7,5,3.989569
-49.7,4,3.995697
-49.2,9,4.008226
-47.3,28,4.049489
-49.8,3,4.05474
-49.6,5,4.061256
-47.5,7,4.072685
-47.9,22,4.102804
-49.7,4,4.108648
-49.4,7,4.119886
-49.0,11,4.137107
-49.7,4,4.143306
-49.2,9,4.155629
-49.8,3,4.160999
-49.9,2,4.16222
-49.9,2,4.167231
-47.7,5,4.173993
-49.9,2,4.175099
-49.5,6,4.186072
-48.3,18,4.21114
-48.7,14,4.233911
-48.8,13,4.252755
-48.0,2,4.257825
-49.4,7,4.265617
-49.5,6,4.276534
-49.8,3,4.282174
-45.7,25,4.320058
-49.8,3,4.325968
-43.5,47,4.395643
-49.6,5,4.406306
-49.5,6,4.414042
-50.0,1,4.414653
-50.0,1,4.419196
-49.3,8,4.431497
-47.5,7,4.439973
-49.7,4,4.446576
-46.9,13,4.470416
-47.3,9,4.483853
-50.0,1,4.484517
-49.8,3,4.490163
-49.0,11,4.508429
-48.6,15,4.52898
-50.0,1,4.53363
-50.0,1,4.534266
-46.7,15,4.558728
-50.0,1,4.559384
-48.7,14,4.579149
-49.8,3,4.585015
-47.7,24,4.622357
-49.9,2,4.627527
-49.5,6,4.634984
-49.9,2,4.640159
-49.2,9,4.653353
-47.1,11,4.672329
-50.0,1,4.673011
-48.3,18,4.699087
-50.0,1,4.7038
-47.2,10,4.718393
-50.0,1,4.719083
-49.6,5,4.730953
-50.0,1,4.73161
-50.0,1,4.732242
-50.0,1,4.732897
-47.5,7,4.74582
-49.9,2,4.751048
-47.0,12,4.770467
-47.9,3,4.772421
-49.4,7,4.784516
-48.4,17,4.810969
-48.9,12,4.830068
-47.8,4,4.836622
-49.2,9,4.854183
-46.2,20,4.886389
-49.9,2,4.887547
-49.9,2,4.892793
-47.2,10,4.906945
-50.0,1,4.907544
-48.5,16,4.932982
-49.7,4,4.939383
-49.8,3,4.945281
-47.0,12,4.964586
-47.7,24,5.002718
-46.1,21,5.035577
-44.8,15,5.061308
-47.9,3,5.067386
-49.6,5,5.097434
-50.0,1,5.098106
-49.9,2,5.103459
-49.9,2,5.104574
-49.7,4,5.110995
-49.8,3,5.116775
-50.0,1,5.117395
-46.7,15,5.142335
-49.0,11,5.161089
-48.6,15,5.185527
-47.6,6,5.193027
-45.0,32,5.24376
-47.7,5,5.250761
-47.5,7,5.262865
-45.2,11,5.282224
-49.7,4,5.288527
-50.0,1,5.289154
-50.0,1,5.289784
-49.3,8,5.302074
-49.4,7,5.314061
-45.0,13,5.334412
-49.5,6,5.345934
-49.7,4,5.352252
-47.9,3,5.358353
-49.5,6,5.365866
-49.9,2,5.371038
-48.4,17,5.396338
-49.3,8,5.409173
-49.4,7,5.421405
-47.3,9,5.435128
-50.0,1,5.43575
-49.5,6,5.447171
-49.8,3,5.448987
-47.0,12,5.467963
-50.0,1,5.472525
-48.4,17,5.498133
-48.5,16,5.523849
-47.7,5,5.530976
-49.5,6,5.542397
-49.8,3,5.544261
-45.5,27,5.587923
-49.8,3,5.593683
-50.0,1,5.594313
-48.8,13,5.613727
-48.8,13,5.636642
-49.2,9,5.649494
-49.4,7,5.661728
-48.9,12,5.680224
-47.7,5,5.687091
-47.6,6,5.694625
-49.9,2,5.69971
-48.8,13,5.719724
-48.5,16,5.745442
-49.6,5,5.752448
-49.7,4,5.758759
-50.0,1,5.763335
-49.9,2,5.764467
-49.6,5,5.771528
-49.4,7,5.783144
-47.3,9,5.796645
-49.8,3,5.802255
-49.2,9,5.815549
-49.9,2,5.820725
-48.8,13,5.839585
-49.6,5,5.846507
-49.3,8,5.859634
-48.1,20,5.8907
-49.9,2,5.895782
-49.6,5,5.902506
-49.6,5,5.909335
-45.1,31,5.958983
-49.8,3,5.964633
-49.4,7,5.976546
-49.8,3,5.978285
-48.6,15,6.002738
-48.8,13,6.021808
-49.5,6,6.032925
-49.6,5,6.040048
-47.2,29,6.084033
-47.4,8,6.096692
-47.5,7,6.108593
-49.0,11,6.126602
-48.5,16,6.151268
-49.3,8,6.163852
-49.5,6,6.170925
-47.5,26,6.213267
-47.9,3,6.219091
-48.6,15,6.238884
-47.5,7,6.250937
-49.1,10,6.268108
-49.9,2,6.269446
-50.0,1,6.270065
-49.5,6,6.281242
-47.6,6,6.288865
-49.9,2,6.294049
-49.3,8,6.306866
-49.0,11,6.324439
-49.0,11,6.338706
-49.7,4,6.345013
-46.4,18,6.374851
-49.5,6,6.38197
-50.0,1,6.386556
-49.4,7,6.394734
-50.0,1,6.399264
-49.4,7,6.407749
-48.0,2,6.413073
-45.7,6,6.420552
-47.7,24,6.458409
-47.6,25,6.501057
-46.5,36,6.557083
