#{"t_start": 1775808545.3582988, "env_id": "None"}
r,l,t
-1.2,13,2.6369
-1.2,2,2.641521
-1.2,1,2.642155
-1.2,9,2.654007
-1.2,2,2.658721
-1.2,2,2.659844
-1.2,2,2.66446
0.0,18,2.68818
-1.2,5,2.694425
-1.2,9,2.709629
1.2,5,2.716024
-1.2,2,2.71717
-1.2,20,2.745336
-1.2,1,2.749443
-1.2,8,2.760694
-1.2,2,2.761836
-1.2,3,2.767024
-1.2,10,2.779382
-1.2,1,2.783486
0.0,4,2.789386
0.0,14,2.807498
0.0,4,2.813237
-1.2,3,2.818403
-1.2,2,2.819534
0.0,2,2.824343
-1.2,1,2.82493
-1.2,4,2.830629
-1.2,2,2.83527
-1.2,3,2.836942
-1.2,5,2.84669
-1.2,5,2.853039
-1.2,10,2.865346
-1.2,11,2.881562
0.0,2,2.8863
-1.2,1,2.886919
0.0,4,2.892631
-1.2,2,2.893811
-1.2,1,2.897908
-1.2,13,2.915392
0.0,3,2.920637
-1.2,17,2.943736
-1.2,4,2.949437
-1.2,9,2.961319
-1.2,3,2.966486
-1.2,2,2.967679
-1.2,3,2.972832
-1.2,2,2.977481
-1.2,7,2.985009
-1.2,1,2.98919
-1.2,4,2.99483
-1.2,2,2.995964
0.0,15,3.01801
0.0,12,3.034956
-1.2,2,3.036089
-1.2,5,3.045812
0.0,5,3.052192
-1.2,1,3.052833
-1.2,10,3.068558
-1.2,23,3.098175
-1.2,2,3.102844
-1.2,4,3.108529
-1.2,7,3.119317
0.0,3,3.121073
0.0,2,3.125821
-1.2,6,3.13254
-1.2,5,3.142194
0.0,12,3.159522
-1.2,1,3.160138
-1.2,24,3.194052
-1.2,2,3.195175
-1.2,5,3.205042
-1.2,7,3.212408
-1.2,7,3.22334
-1.2,2,3.228305
-1.2,12,3.245758
-1.2,4,3.251449
-1.2,2,3.252636
-1.2,1,3.253249
0.0,25,3.291526
-1.2,15,3.310037
-1.2,13,3.331146
-1.2,5,3.33752
-1.2,4,3.343233
-1.2,4,3.348884
-1.2,2,3.350046
-1.2,13,3.370946
-1.2,2,3.372076
-1.2,4,3.377722
-1.2,18,3.40502
-1.2,1,3.405664
-1.2,7,3.416345
0.0,2,3.417579
-1.2,7,3.428471
-1.2,9,3.441118
-1.2,4,3.446778
-1.2,8,3.458213
-1.2,1,3.458853
-1.2,4,3.464536
-1.2,28,3.5039
-1.2,3,3.509066
-1.2,8,3.520508
-1.2,3,3.525729
-1.2,1,3.526331
-1.2,1,3.526947
-1.2,2,3.531629
-1.2,3,3.536785
-1.2,15,3.555068
0.0,5,3.564867
1.2,6,3.571758
-1.2,5,3.577926
-1.2,2,3.582593
-1.2,3,3.587751
-1.2,1,3.58842
-1.2,6,3.595093
-1.2,1,3.599191
0.0,22,3.628322
-1.2,4,3.634243
-1.2,8,3.645477
-1.2,12,3.662682
-1.2,1,3.663293
-1.2,1,3.667434
-1.2,4,3.673144
-1.2,4,3.678785
0.0,11,3.691611
-1.2,1,3.695775
-1.2,5,3.701958
0.0,10,3.714398
-1.2,11,3.73072
-1.2,1,3.73136
-1.2,1,3.735454
-1.2,7,3.742662
0.0,6,3.752983
-1.2,5,3.759191
-1.2,1,3.759784
-1.2,2,3.764441
-1.2,1,3.765041
-1.2,9,3.776805
0.0,16,3.799578
-1.2,4,3.805244
-1.2,1,3.809358
-1.2,19,3.833522
-1.2,1,3.837638
-1.2,8,3.84887
0.0,20,3.876923
-1.2,2,3.87813
-1.2,10,3.89401
-1.2,1,3.894633
0.0,4,3.900369
-1.2,1,3.901028
-1.2,4,3.906712
-1.2,7,3.917493
-1.2,2,3.918607
-1.2,4,3.924339
-1.2,13,3.945294
0.0,9,3.957319
-1.2,2,3.958444
-1.2,13,3.979432
-1.2,8,3.990765
-1.2,14,4.008754
-1.2,7,4.019595
-1.2,1,4.020269
0.0,4,4.026321
-1.2,2,4.031021
-1.2,8,4.042435
-1.2,2,4.043618
-1.2,6,4.054
-1.2,2,4.055338
-1.2,4,4.061266
0.0,5,4.067652
-1.2,4,4.073396
0.0,5,4.083451
-1.2,3,4.085108
-1.2,8,4.096782
-1.2,7,4.107772
-1.2,2,4.112584
0.0,37,4.165298
-1.2,2,4.166481
-1.2,7,4.177571
-1.2,12,4.195058
-1.2,8,4.206681
-1.2,1,4.20734
0.0,2,4.212224
0.0,2,4.213398
0.0,24,4.249819
0.0,25,4.290165
-1.2,1,4.290781
-1.2,22,4.321398
-1.2,3,4.326877
-1.2,2,4.331898
-1.2,3,4.333565
-1.2,1,4.338018
0.0,2,4.339202
0.0,3,4.344992
-1.2,3,4.350477
-1.2,9,4.363146
-1.2,3,4.368633
0.0,9,4.381527
0.0,8,4.393612
0.0,22,4.424724
0.0,7,4.436486
-1.2,3,4.442152
-1.2,3,4.447699
-1.2,8,4.459909
0.0,13,4.478999
0.0,3,4.484677
-1.2,1,4.485282
-1.2,2,4.486415
-1.2,3,4.491984
0.0,4,4.498186
-1.2,1,4.49877
0.0,3,4.504429
-1.2,5,4.511054
-1.2,1,4.515638
-1.2,4,4.521766
-1.2,13,4.540355
-1.2,8,4.552451
-1.2,1,4.553112
-1.2,2,4.558189
-1.2,2,4.559331
-1.2,1,4.559935
-1.2,2,4.565061
-1.2,1,4.565697
-1.2,3,4.571278
-1.2,14,4.590436
-1.2,5,4.601068
-1.2,1,4.60168
-1.2,4,4.607809
-1.2,3,4.613406
-1.2,1,4.614076
-1.2,3,4.619659
0.0,8,4.631917
0.0,4,4.638075
0.0,6,4.645325
-1.2,1,4.645941
-1.2,5,4.656571
-1.2,1,4.657177
-1.2,4,4.66333
-1.2,1,4.66394
-1.2,1,4.664526
-1.2,2,4.6696
-1.2,1,4.670261
-1.2,3,4.675886
-1.2,1,4.676477
-1.2,2,4.681591
-1.2,2,4.682765
-1.2,6,4.693959
-1.2,2,4.695088
-1.2,2,4.700216
0.0,6,4.707729
-1.2,16,4.732112
-1.2,2,4.737258
-1.2,3,4.738881
-1.2,1,4.743549
-1.2,6,4.7508
-1.2,8,4.76318
0.0,6,4.774503
0.0,6,4.781932
-1.2,3,4.787652
