#{"t_start": 1775803203.1865678, "env_id": "None"}
r,l,t
-1.23,2,3.763598
-1.2,1,3.764616
-1.35,6,3.770167
-1.23,2,3.772086
-1.29,4,3.77583
-1.47,10,3.785082
-1.2,1,3.786095
-0.09,5,3.790812
-1.29,4,3.794597
-1.35,6,3.800147
-1.2,1,3.801158
-0.03,3,3.804122
-1.47,10,3.813292
-1.32,5,3.817959
2.28,8,3.8257
-1.2,1,3.826722
-1.2,1,3.827729
-1.2,1,3.828733
-1.95,26,3.852703
-0.09,5,3.857501
0.0,2,3.859515
-1.26,3,3.862341
-1.2,1,3.863361
-1.2,1,3.864371
-1.26,3,3.867207
-1.2,1,3.868226
-0.06,4,3.872127
-1.32,5,3.876789
-1.23,2,3.878704
-1.29,4,3.882434
-1.2,1,3.883455
-1.38,7,3.889951
-1.2,1,3.890973
-1.53,12,3.901948
-1.38,7,3.908442
-1.26,3,3.911304
-0.09,5,3.916151
-1.44,9,3.924472
-1.2,1,3.925489
-1.2,1,3.92652
-1.41,8,3.93392
-1.41,8,3.941321
-1.53,12,3.952324
-0.06,4,3.956131
-1.41,8,3.963524
-1.29,4,3.967266
-1.2,1,3.968279
-1.29,4,3.972017
-1.35,6,3.977577
-1.35,6,3.983128
-1.23,2,3.985042
-1.2,1,3.986039
-1.23,2,3.987977
-1.29,4,3.991686
-1.23,2,3.99362
-1.47,10,4.002834
-0.15,7,4.009521
-1.32,5,4.014184
-1.2,1,4.015208
-1.35,6,4.020753
-0.27,11,4.030961
-1.35,6,4.036517
-0.03,3,4.039509
-0.24,10,4.048872
-1.74,19,4.066281
-1.26,3,4.069138
-1.26,3,4.07199
-1.23,2,4.073912
-1.2,1,4.074935
-1.41,8,4.082357
-1.2,1,4.083359
-1.2,1,4.084364
-1.29,4,4.088106
-0.3,12,4.099254
-1.92,25,4.122091
-1.44,9,4.130438
-1.2,1,4.131435
-0.15,7,4.137992
-1.2,1,4.139013
-0.18,8,4.146547
-1.29,4,4.15029
-1.2,1,4.151307
-1.5,11,4.161392
-1.38,7,4.167914
-0.3,12,4.179063
-1.35,6,4.184652
-0.03,3,4.187581
-1.32,5,4.192243
-0.03,3,4.195164
-1.29,4,4.198909
-1.32,5,4.203571
-1.2,1,4.204583
-1.56,13,4.216593
-1.2,1,4.217607
-1.26,3,4.220432
-1.44,9,4.228725
-1.26,3,4.231594
-1.32,5,4.236233
-1.23,2,4.238174
-2.01,28,4.263693
-1.2,1,4.264713
-1.26,3,4.267544
-1.23,2,4.269481
-1.2,1,4.270503
-1.35,6,4.276119
-0.18,8,4.283595
-1.2,1,4.284614
-1.2,1,4.285625
-1.32,5,4.290284
-1.56,13,4.302195
-1.23,2,4.304145
-1.2,1,4.305157
-1.38,7,4.311642
-1.5,11,4.321745
-1.23,2,4.323701
-1.23,2,4.325636
-0.18,8,4.333162
-1.23,2,4.335098
-1.5,11,4.345194
-1.23,2,4.347132
-1.26,3,4.349976
-0.27,11,4.360216
-1.2,1,4.361243
-1.2,1,4.362254
-1.2,1,4.363287
-1.23,2,4.365212
-1.2,1,4.366204
-0.09,5,4.370964
-1.23,2,4.372893
-1.41,8,4.380333
-1.26,3,4.383149
-1.35,6,4.388751
-1.35,6,4.39432
-1.2,1,4.395342
-1.5,11,4.405429
-0.39,15,4.419289
-0.12,6,4.424987
-1.35,6,4.430526
-0.15,7,4.437211
-1.38,7,4.443678
-1.32,5,4.448325
-1.2,1,4.449332
-0.12,6,4.455023
-0.06,4,4.458987
-1.65,16,4.473638
-1.35,6,4.479205
-1.47,10,4.488405
-1.59,14,4.501234
-1.26,3,4.504054
-1.2,1,4.505081
-1.2,1,4.506104
-1.23,2,4.508027
